SKU,Description,Category,Unit_Cost,Jan_Y1,Feb_Y1,Mar_Y1,Apr_Y1,May_Y1,Jun_Y1,Jul_Y1,Aug_Y1,Sep_Y1,Oct_Y1,Nov_Y1,Dec_Y1,Jan_Y2,Feb_Y2,Mar_Y2,Apr_Y2,May_Y2,Jun_Y2,Jul_Y2,Aug_Y2,Sep_Y2,Oct_Y2,Nov_Y2,Dec_Y2
SKU-001,Polyester Thread 40/2,Polyester,12.50,4200,3900,4800,5100,5400,5800,6200,6000,5500,5000,4600,4300,4400,4100,5000,5300,5600,6000,6400,6200,5700,5200,4800,4500
SKU-002,Cotton Thread 20/2,Cotton,18.75,3100,2900,3400,3600,3800,4100,4400,4200,3900,3600,3300,3000,3250,3050,3570,3780,3990,4300,4610,4400,4090,3780,3460,3150
SKU-003,Nylon Thread 70D,Nylon,8.20,8500,7800,9200,9800,10500,11200,11800,11500,10800,9900,9100,8700,8900,8200,9650,10280,11020,11750,12380,12060,11330,10390,9540,9120
SKU-004,Polyester Thread 20/2,Polyester,15.30,2800,2600,3100,3300,3500,3800,4000,3900,3600,3300,3000,2800,2940,2730,3250,3460,3670,3980,4200,4090,3780,3460,3150,2940
SKU-005,Spun Polyester 40/3,Polyester,22.10,1500,1400,1700,1800,1950,2100,2200,2150,2000,1850,1700,1600,1575,1470,1785,1890,2048,2205,2310,2258,2100,1943,1785,1680
SKU-006,Textured Polyester,Polyester,9.80,6800,6200,7400,7900,8400,9000,9500,9200,8600,7900,7300,6900,7140,6510,7770,8295,8820,9450,9975,9660,9030,8295,7665,7245
SKU-007,Monofilament 0.2mm,Nylon,35.50,420,390,480,510,540,580,620,600,560,510,470,440,441,410,504,536,567,609,651,630,588,536,494,462
SKU-008,Core Spun Thread,Polyester,28.90,980,910,1100,1170,1250,1340,1420,1380,1290,1180,1090,1020,1029,956,1155,1229,1313,1407,1491,1449,1355,1239,1145,1071
SKU-009,Embroidery Thread,Specialty,6.40,12000,11000,13500,14400,15300,16400,17300,16800,15700,14400,13300,12500,12600,11550,14175,15120,16065,17220,18165,17640,16485,15120,13965,13125
SKU-010,Bonded Nylon 69,Nylon,19.60,1800,1670,2000,2130,2260,2430,2560,2490,2330,2130,1970,1850,1890,1754,2100,2237,2373,2552,2688,2615,2447,2237,2069,1943
SKU-011,Polyester 60/2,Polyester,11.20,5200,4800,5700,6100,6500,6900,7300,7100,6600,6100,5600,5300,5460,5040,5985,6405,6825,7245,7665,7455,6930,6405,5880,5565
SKU-012,Wooly Nylon,Nylon,7.90,7600,7000,8300,8900,9400,10100,10600,10300,9700,8900,8200,7700,7980,7350,8715,9345,9870,10605,11130,10815,10185,9345,8610,8085
SKU-013,High Tenacity Poly,Polyester,31.40,650,600,720,770,820,880,930,900,840,770,710,670,683,630,756,809,861,924,977,945,882,809,746,704
SKU-014,Mercerized Cotton,Cotton,24.70,1100,1020,1220,1300,1380,1480,1560,1520,1420,1300,1200,1130,1155,1071,1281,1365,1449,1554,1638,1596,1491,1365,1260,1187
SKU-015,Fluorescent Thread,Specialty,14.10,3400,3100,3700,3950,4200,4500,4750,4620,4320,3960,3650,3430,3570,3255,3885,4148,4410,4725,4988,4851,4536,4158,3833,3602
SKU-016,Polyester 80/2,Polyester,10.40,6100,5600,6700,7100,7600,8100,8600,8300,7800,7100,6600,6200,6405,5880,7035,7455,7980,8505,9030,8715,8190,7455,6930,6510
SKU-017,Cotton 30/3,Cotton,21.30,1750,1620,1940,2070,2190,2360,2490,2420,2260,2070,1910,1800,1838,1701,2037,2174,2300,2478,2615,2541,2373,2174,2006,1890
SKU-018,Nylon 6.6 Thread,Nylon,26.80,890,820,990,1050,1120,1200,1270,1230,1150,1060,970,910,935,861,1040,1103,1176,1260,1334,1292,1208,1113,1019,956
SKU-019,Trilobal Polyester,Polyester,16.90,2600,2400,2850,3050,3240,3470,3670,3560,3330,3050,2810,2640,2730,2520,2993,3203,3402,3644,3854,3738,3497,3203,2951,2772
SKU-020,Spun Nylon 40/2,Nylon,13.60,4000,3680,4400,4700,4990,5350,5660,5490,5140,4700,4340,4080,4200,3864,4620,4935,5240,5618,5943,5765,5397,4935,4557,4284
SKU-021,Polyester 120/2,Polyester,8.70,9200,8460,10100,10790,11460,12290,12990,12610,11800,10790,9960,9360,9660,8883,10605,11330,12033,12905,13640,13241,12390,11330,10458,9828
SKU-022,Cotton 40/2 Combed,Cotton,23.40,1350,1250,1490,1590,1690,1810,1910,1860,1740,1590,1470,1380,1418,1313,1565,1670,1775,1901,2006,1953,1827,1670,1544,1449
SKU-023,Nylon Invisible Thread,Nylon,11.80,5500,5060,6050,6460,6860,7370,7810,7590,7100,6460,5990,5610,5775,5313,6353,6783,7203,7739,8201,7970,7455,6783,6290,5891
SKU-024,Metallic Thread Gold,Specialty,42.60,280,260,310,330,350,380,400,390,360,330,310,290,294,273,326,347,368,399,420,410,378,347,326,305
